major,Semester,Year,degree,university,top,G-V,G-Q,G-A,gpa-norm,toefl,acceptance
Material,Fall,2014,MS,Alabama State University,,,,,,,AD
EE,Fall,2015,MS,Alabama State University,15/211,,,,,,Rej
CS,Fall,2012,MS,Alabama State University,,,,,0.8,,Rej
Other,Fall,2014,MS,American Film Institute,,,,,,,AD
Chem,Fall,2015,PhD,Amherst College,30/211,,,,,,AD
EE,Fall,2013,MS,Amherst College,30/211,,,,,,Rej
Other,Fall,2013,MS,Arizona State University,30/211,,,,0.92,95,AD
EE,Fall,2013,MS,Arizona State University,,,,,0.94,,AD
IEOR,Fall,2014,PhD,Arizona State University,,,,,0.87,,AD
EE,Fall,2013,PhD,Arizona State University,,,,,0.84,,Rej
EE,Fall,2013,MS,Arizona State University,,,,,0.86,,AD
Material,Fall,2016,PhD,Arizona State University,15/211,0.5,1,3.5,0.83,106,AD
Mech,Fall,2012,PhD,Arizona State University,15/211,0.6,0.9,3,0.975,98,AD
EE,Fall,2014,MS,Arizona State University,30/211,0.7375,0.7375,3,0.975,,Rej
CS,Fall,2016,MS,Arizona State University,30/211,0.625,1,3.5,0.95,101,AD
CS,Fall,2014,MS,Arizona State University,30/211,0.525,0.9,3.5,0.9375,101,Rej
EE,Fall,2015,MS,Arizona State University,,,,,0.9375,,AD
EE,Fall,2013,MS,Arizona State University,,,,,0.925,,AD
EE,Fall,2015,MS,Arizona State University,,,,,0.9,,Rej
EE,Fall,2014,MS,Arizona State University,15/211,0.575,1,3,0.875,97,AD
CS,Fall,2016,MS,Arizona State University,15/211,0.5,0.95,4,0.85,103,AD
EE,Fall,2013,MS,Arizona State University,30/211,0.5,0.95,3.5,0.825,101,AD
Mech,Fall,2014,MS,Arizona State University,,,,,0.8375,,AD
EE,Fall,2013,PhD,Arizona State University,,,,,0.825,,AD
EE,Fall,2013,PhD,Arizona State University,,,,,0.825,,AD
CS,Fall,2016,MS,Arizona State University,30/211,0.675,0.675,3,0.983333333,91,AD
EE,Fall,2015,MS,Arizona State University,30/211,0.8,0.8,3,0.933333333,98,Rej
CS,Fall,2013,MS,Arizona State University,30/211,0.575,0.9,4,0.916666667,104,AD
EE,Fall,2012,MS,Arizona State University,,,,,0.916666667,,AD
Mech,Fall,2016,PhD,Arizona State University,,,,,0.916666667,,AD
EE,Fall,2012,PhD,Arizona State University,,,,,0.9,,AD
EE,Fall,2012,PhD,Arizona State University,,,,,0.9,,AD
CS,Fall,2015,MS,Arizona State University,30/211,0.75,0.75,1,0.85,95,AD
EE,Fall,2013,MS,Arizona State University,15/211,,,,0.766666667,92,AD
EE,Fall,2012,MS,Arizona State University,,,,,0.8,,AD
Material,Fall,2012,MS,Arizona State University,15/211,0.875,0.9,3,0.75,105,AD
Material,Fall,2016,PhD,Arizona State University,30/211,0.75,0.75,0,0.733333333,111,AD
EE,Fall,2015,MS,Arizona State University,30/211,0.525,0.875,3,0.733333333,95,Rej
Aero,Fall,2014,PhD,Arizona State University,15/211,0.525,0.975,2,0.716666667,80,AD
EE,Fall,2014,MS,Arizona State University,,,,,0.775,,AD
EE,Spring,2016,MS,Arizona State University,30/211,0.775,0.775,3,0.925,102,AD
EE,Fall,2014,MS,Arizona State University,15/211,0.7625,0.7625,3,0.875,,AD
EE,Fall,2016,,Arizona State University,,,,,0.975,,
CS,Fall,2016,MS,Arizona State University,,,,,0.975,,AD
CS,Fall,2014,MS,Arizona State University,,,,,0.925,,AD
Material,Fall,2014,PhD,Arizona State University,15/211,,,,0.95,,AD
CS,Fall,2016,MS,Arizona State University,30/211,0.525,1,3,0.95,,AD
CS,Fall,2015,MS,Arizona State University,15/211,0.5,1,3,0.95,100,Rej
CS,Fall,2015,MS,Arizona State University,15/211,0.525,1,3,0.95,96,AD
EE,Fall,2013,MS,Arizona State University,30/211,0.675,0.95,3,0.95,105,AD
Bio,Fall,2012,PhD,Arizona State University,,,,,0.95,,AD
EE,Fall,2014,PhD,Arizona State University,15/211,0.5,0.95,3,0.925,102,AD
EE,Fall,2012,PhD,Arizona State University,30/211,0.8,0.525,3,0.95,101,Rej
Material,Fall,2015,MS,Arizona State University,30/211,0.575,0.825,3,0.925,100,AD
EE,Fall,2015,PhD,Arizona State University,15/211,0.775,0.775,3.5,0.925,103,AD
EE,Fall,2012,PhD,Arizona State University,15/211,0.5,0.975,3.5,0.925,98,AD
EE,Fall,2014,PhD,Arizona State University,15/211,0.875,0.575,0,0.925,105,Rej
Mech,Fall,2013,PhD,Arizona State University,15/211,,,,0.925,98,AD
Mech,Fall,2013,PhD,Arizona State University,15/211,,,,0.925,101,AD
CS,Fall,2014,PhD,Arizona State University,,,,,0.925,,AD
CS,Fall,2013,MS,Arizona State University,,,,,0.925,,AD
EE,Fall,2013,MS,Arizona State University,,,,,0.925,,AD
Mech,Fall,2016,MS,Arizona State University,15/211,0.625,0.925,3,0.925,99,AD
EE,Fall,2016,MS,Arizona State University,15/211,0.625,0.925,3,0.925,99,AD
Mech,Fall,2012,PhD,Arizona State University,15/211,0.6,0.825,2.5,0.925,94,AD
CS,Fall,2013,MS,Arizona State University,15/211,0.525,0.9,3,0.9,93,AD
CS,Fall,2012,PhD,Arizona State University,,,,,0.9,,AD
IEOR,Fall,2013,MS,Arizona State University,,,,,0.9,,AD
Civil,Fall,2015,MS,Arizona State University,15/211,,,,0.875,,AD
Stat/Biostat,Fall,2014,MS,Arizona State University,30/211,,,,0.875,,AD
Mech,Fall,2015,PhD,Arizona State University,30/211,0.625,0.625,4,0.875,99,AD
Edu,Fall,2012,MS,Arizona State University,30/211,0.85,0.9,3,0.875,92,Rej
Edu,Fall,2012,MS,Arizona State University,30/211,0.85,0.9,3,0.875,92,Rej
EE,Fall,2015,MS,Arizona State University,15/211,,,,0.875,94,AD
CS,Fall,2015,PhD,Arizona State University,30/211,0.7375,0.7375,3,0.875,98,AD
CS,Fall,2016,MS,Arizona State University,30/211,0.35,1,3,0.875,101,AD
EE,Fall,2016,PhD,Arizona State University,15/211,,,,0.875,104,AD
Stat/Biostat,Fall,2014,MS,Arizona State University,15/211,0.575,0.875,3,0.875,93,AD
Material,Fall,2014,PhD,Arizona State University,,,,,0.875,,AD
EE,Fall,2015,MS,Arizona State University,,,,,0.875,,AD
CS,Fall,2013,MS,Arizona State University,,,,,0.875,,AD
EE,Fall,2013,MS,Arizona State University,,,,,0.875,,AD
Math,Fall,2013,PhD,Arizona State University,,,,,0.875,,AD
CS,Spring,2015,MS,Arizona State University,,,,,0.875,,AD
EE,Fall,2015,MS,Arizona State University,15/211,0.7,0.7,3,0.875,94,AD
Mech,Fall,2015,MS,Arizona State University,15/211,0.525,0.95,3,0.85,102,AD
EE,Fall,2012,MS,Arizona State University,30/211,0.8,0.9,3,0.85,108,AD
CS,Fall,2015,MS,Arizona State University,15/211,0.85,0.85,3,0.85,109,AD
EE,Fall,2014,MS,Arizona State University,15/211,0.3,0.95,3,0.85,90,AD
CS,Fall,2012,PhD,Arizona State University,15/211,0.8,0.525,3,0.85,93,AD
CS,Fall,2015,PhD,Arizona State University,,0.55,0.775,3,0.85,92,AD
CS,Fall,2014,MS,Arizona State University,,,,,0.85,,Rej
CS,Fall,2016,PhD,Arizona State University,30/211,0.625,0.625,4,0.825,80,AD
CS,Fall,2016,MS,Arizona State University,30/211,0.625,1,3,0.825,106,AD
Stat/Biostat,Fall,2015,MS,Arizona State University,30/211,0.7375,0.7375,3.5,0.825,91,AD
Stat/Biostat,Fall,2012,PhD,Arizona State University,15/211,0.85,0.55,3,0.825,98,AD
EE,Fall,2015,PhD,Arizona State University,30/211,0.55,0.95,3.5,0.825,98,AD
EE,Fall,2014,MS,Arizona State University,15/211,0.7625,0.7625,3,0.825,96,AD
EE,Fall,2014,MS,Arizona State University,,,,,0.8,,Rej
EE,Fall,2014,MS,Arizona State University,30/211,0.75,0.75,3,0.825,105,AD
EE,Fall,2014,MS,Arizona State University,30/211,0.55,0.925,3,0.825,91,AD
EE,Fall,2014,MS,Arizona State University,,,,,0.825,,Rej
CS,Fall,2013,MS,Arizona State University,30/211,0.525,0.85,3.5,0.825,92,AD
EE,Fall,2013,MS,Arizona State University,15/211,0.75,0.75,6,0.825,101,AD
EE,Fall,2014,,Arizona State University,,,,,0.8,,
EE,Fall,2013,MS,Arizona State University,15/211,0.525,0.9,3,0.825,99,Rej
CS,Fall,2013,MS,Arizona State University,,,,,0.825,,Rej
CS,Fall,2013,MS,Arizona State University,,,,,0.825,,AD
MIS/DataScience,Fall,2013,MS,Arizona State University,,,,,0.825,,AD
EE,Spring,2016,MS,Arizona State University,,,,,0.825,,AD
Math,Fall,2015,PhD,Arizona State University,15/211,0.45,0.825,3.5,0.8,87,AD
Mech,Fall,2014,MS,Arizona State University,,,,,0.8,,AD
Mech,Fall,2015,MS,Arizona State University,15/211,0.5,0.5,6,0.8,93,AD
Mech,Fall,2013,MS,Arizona State University,30/211,0.45,0.825,3.5,0.8,87,AD
MIS/DataScience,Fall,2015,MS,Arizona State University,30/211,0.325,0.2,0,0.8,107,AD
CS,Fall,2015,MS,Arizona State University,15/211,0.75,0.75,2,0.8,94,AD
CS,Fall,2014,MS,Arizona State University,,0.65,0.975,3.5,0.8,109,AD
EE,Fall,2012,,Arizona State University,15/211,0.55,0.825,3,0.8,86,
CS,Fall,2015,MS,Arizona State University,,,,,0.8,,AD
EE,Fall,2013,MS,Arizona State University,30/211,0.475,0.85,3,0.8,106,AD
EE,Fall,2015,MS,Arizona State University,,,,,0.8,,Rej
Bio,Fall,2013,MS,Arizona State University,,,,,0.8,,AD
EE,Fall,2014,PhD,Arizona State University,,,,,0.8,,Rej
CS,Fall,2014,MS,Arizona State University,,,,,0.8,,Rej
CS,Fall,2016,MS,Arizona State University,,,,,0.8,,AD
EE,Fall,2013,MS,Arizona State University,,,,,0.8,,AD
CS,Fall,2016,MS,Arizona State University,30/211,0.7375,0.7375,3.5,0.775,95,AD
CS,Fall,2016,MS,Arizona State University,30/211,0.75,0.75,0,0.775,95,AD
CS,Spring,2016,MS,Arizona State University,30/211,0.75,0.75,2,0.775,98,AD
Chem,Fall,2015,MS,Arizona State University,,,,,0.775,,Rej
CS,Fall,2013,MS,Arizona State University,,,,,0.775,,AD
EE,Fall,2013,MS,Arizona State University,,,,,0.75,,Rej
EE,Fall,2014,MS,Arizona State University,,,,,0.775,,AD
Mech,Fall,2016,MS,Arizona State University,30/211,0.725,0.925,3,0.775,101,AD
Stat/Biostat,Fall,2014,MS,Arizona State University,15/211,0.675,0.875,3,0.75,82,AD
EE,Fall,2012,MS,Arizona State University,,,,,0.75,,AD
CS,Fall,2014,MS,Arizona State University,,,,,0.75,,AD
CS,Fall,2014,MS,Arizona State University,,,,,0.75,,AD
EE,Fall,2013,MS,Arizona State University,,,,,0.725,,Rej
Other,Fall,2016,MS,Arizona State University,,,,,0.675,,AD
CS,Fall,2015,MS,Arizona State University,,,,,0.65,,AD
CS,Fall,2013,MS,Arizona State University,15/211,0.55,1,3,0.65,99,Rej
EE,Fall,2012,PHD,Arizona State University,,,,,0.6,,Rej
EE,Fall,2014,MS,Arizona State University,15/211,0.6,0.9,2.5,0.525,94,AD
EE,Fall,2014,MS,Arizona State University,,,,,0.4,,AD
CS,Fall,2016,MS,Arizona State University,,,,,0.35,,AD
Envir,Fall,2014,PhD,Arizona State University,15/211,0.65,0.9,3,0.325,108,AD
EE,Fall,2014,PhD,Arizona State University,,,,,0.325,,Rej
EE,Fall,2012,MS,Arizona State University,30/211,0.575,0.975,3.5,0.225,106,AD
EE,Fall,2012,MS,Arizona State University,,,,,0.1,,Rej
EE,Fall,2014,MS,Arizona State University,15/211,0.425,0.925,2.5,0.1,87,AD
EE,Fall,2012,MS,Arizona State University,30/211,0.825,0.55,3,0.05,100,Rej
EE,Fall,2016,PhD,Arizona State University,,,,,,,AD
EE,Fall,2016,PhD,Arizona State University,,,,,,,AD
EE,Fall,2013,PhD,Arizona State University,30/211,0.575,0.95,3.5,,110,AD
Material,Fall,2013,PhD,Arizona State University,,,,,,,AD
IEOR,Fall,2013,MS,Arizona State University,,,,,,,AD
IEOR,Fall,2013,MS,Arizona State University,30/211,0.6,1,4,,95,AD
Material,Fall,2015,PhD,Arizona State University,,,,,0.85,,AD
IEOR,Fall,2015,PhD,Arizona State University,30/211,0.7,0.9,3.5,,,AD
CS,Fall,2015,MS,Arizona State University,30/211,,,,,,AD
EE,Fall,2012,MS,Arizona State University,30/211,,,,0.8,90,AD
CS,Fall,2015,MS,Arizona State University,,,,,0.8,,AD
IEOR,Fall,2015,PhD,Arizona State University,30/211,0.7,0.9,3.5,,,AD
CS,Fall,2015,PhD,Arizona State University,,,,,0.775,,AD
EE,Fall,2015,MS,Arizona State University,15/211,,,,0.8,106,AD
EE,Fall,2015,,Arizona State University,30/211,,,,,,
CS,Fall,2014,MS,Arizona State University,15/211,0.875,0.875,2,,104,AD
Physics,Fall,2014,PhD,Arizona State University,30/211,0.75,0.75,2,0.825,99,AD
Other,Fall,2014,MS,Arizona State University,30/211,0.5,0.95,3,0.75,96,AD
Mech,Fall,2013,PhD,Arizona State University,15/211,,,,0.7,,AD
CS,Fall,2013,PhD,Arizona State University,30/211,0.425,0.9,3,,92,AD
Stat/Biostat,Fall,2013,PhD,Arizona State University,,,,,,,AD
Stat/Biostat,Fall,2013,PhD,Arizona State University,,,,,,,AD
Stat/Biostat,Fall,2013,,Arizona State University,,,,,0.925,,
EE,Fall,2013,PhD,Arizona State University,,,,,,,AD
CS,Fall,2012,PhD,Arizona State University,,0.525,0.9,3,,106,AD
CS,Fall,2014,MS,Arizona State University,,,,,,,Rej
Material,Fall,2014,MS,Arizona State University,,,,,,,AD
Material,Fall,2016,PhD,Arizona State University,,,,,,,AD
Stat/Biostat,Fall,2015,PhD,Arizona State University,,,,,0.925,,AD
IEOR,Fall,2013,MS,Arizona State University,,,,,,,AD
EE,Fall,2015,MS,Arizona State University,15/211,0.5,0.975,3.5,,102,AD
Mech,Fall,2015,PhD,Arizona State University,,0.45,0.825,3.5,0.8,87,AD
CS,Fall,2016,MS,Arizona State University,,,,,,,AD
EE,Fall,2016,PhD,Arizona State University,30/211,0.375,0.925,3,0.825,94,AD
IEOR,Fall,2016,PhD,Arizona State University,30/211,0.85,0.85,4,0.81,101,AD
CS,Fall,2016,MS,Arizona State University,30/211,0.75,0.75,1,,99,AD
CS,Fall,2016,MS,Arizona State University,,,,,0.625,,AD
Chem,Fall,2016,MS,Arizona State University,,,,,,,Rej
EE,Fall,2016,MS,Arizona State University,,,,,,,AD
CS,Fall,2016,MS,Arizona State University,30/211,,,,,,Rej
Civil,Fall,2016,MS,Arizona State University,,,,,,,AD
EE,Fall,2016,MS,Arizona State University,15/211,,,,,,AD
CS,Fall,2016,PhD,Arizona State University,15/211,0.525,1,3,0.916666667,98,AD
EE,Fall,2016,PhD,Arizona State University,15/211,,,,,,AD
EE,Fall,2016,MS,Arizona State University,,0.525,1,3,,97,AD
CS,Fall,2016,MS,Arizona State University,15/211,,,,,,AD
CS,Fall,2016,MS,Arizona State University,,,,,,,AD
IEOR,Fall,2014,PhD,Arizona State University,,,,,,,AD
CS,Fall,2014,MS,Arizona State University,,,,,,,Rej
