user	url	gpa	Semester	Year	degree	acceptance	university	majors	G	T	top
???	http://www.1point3acres.com/bbs/thread-130453-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS			
gjxwin	http://www.1point3acres.com/bbs/thread-130416-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS			15/211
mengqwang2	http://www.1point3acres.com/bbs/thread-130437-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS			
hanxiaojin21	http://www.1point3acres.com/bbs/thread-130422-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS			
albusshin	http://www.1point3acres.com/bbs/thread-130418-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS			30/211
alphard	http://www.1point3acres.com/bbs/thread-130430-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS, CS			
chen482	http://www.1point3acres.com/bbs/thread-130414-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS			
ee470474137	http://www.1point3acres.com/bbs/thread-130409-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS			
Fantasy	http://www.1point3acres.com/bbs/thread-130411-1-1.html		Fall	2015.0	MS	AD	'University of California, Los Angeles'	CS			
Pluto	http://www.1point3acres.com/bbs/thread-130408-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS			15/211
???	http://www.1point3acres.com/bbs/thread-130403-1-1.html	3.7	Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS	320+3	104	15/211
alpb0130	http://www.1point3acres.com/bbs/thread-130401-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS, CS			15/211
???	http://www.1point3acres.com/bbs/thread-130400-1-1.html		Fall	2015.0	PhD	Rej	'University of California, Los Angeles'	CS			
tailofjune	http://www.1point3acres.com/bbs/thread-130398-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS			
pacman	http://www.1point3acres.com/bbs/thread-130397-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS			
????	http://www.1point3acres.com/bbs/thread-130393-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS			
Pandaman	http://www.1point3acres.com/bbs/thread-130385-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS			
laiguojiuhao	http://www.1point3acres.com/bbs/thread-130382-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS			
messyji	http://www.1point3acres.com/bbs/thread-130378-1-1.html		Fall	2015.0	MS	Rej	'University of California, Los Angeles'	CS	319	101	30/211
